cell_set_accession	cell_label	cell_fullname	parent_cell_set_accession	parent_cell_set_name	labelset	cell_ontology_term_id	cell_ontology_term	rationale	rationale_dois	marker_gene_evidence	synonyms
CrossArea_cluster:476bf7bdd0	Pax6_1	Pax6_1	CrossArea_subclass:8095bd2cb8	Pax6	CrossArea_cluster						
CrossArea_cluster:24c88a1eab	Vip_19	Vip_19	CrossArea_subclass:aeeec672d8	Vip	CrossArea_cluster						
CrossArea_cluster:bf9fa97b6a	Vip_24	Vip_24	CrossArea_subclass:aeeec672d8	Vip	CrossArea_cluster						
CrossArea_cluster:1e4e1b9310	Vip_1	Vip_1	CrossArea_subclass:aeeec672d8	Vip	CrossArea_cluster						
CrossArea_cluster:d54d994682	Vip_13	Vip_13	CrossArea_subclass:aeeec672d8	Vip	CrossArea_cluster						
CrossArea_cluster:ed29c43c53	Lamp5_2	Lamp5_2	CrossArea_subclass:4319e0fcb2	Lamp5	CrossArea_cluster						
CrossArea_cluster:2bc2c3bfe8	Lamp5_5	Lamp5_5	CrossArea_subclass:4319e0fcb2	Lamp5	CrossArea_cluster						
CrossArea_cluster:7a2033daa8	Vip_6	Vip_6	CrossArea_subclass:aeeec672d8	Vip	CrossArea_cluster						
CrossArea_cluster:5997258573	Vip_2	Vip_2	CrossArea_subclass:aeeec672d8	Vip	CrossArea_cluster						
CrossArea_cluster:eb133b51ca	Sncg_2	Sncg_2	CrossArea_subclass:bf12821e51	Sncg	CrossArea_cluster						
CrossArea_subclass:aeeec672d8	Vip	Vip			CrossArea_subclass	CL:4023016	vip GABAergic cortical interneuron				
CrossArea_subclass:4319e0fcb2	Lamp5	Lamp5			CrossArea_subclass	CL:4023011	lamp5 GABAergic cortical interneuron				
CrossArea_subclass:bf12821e51	Sncg	Sncg			CrossArea_subclass	CL:4023015	sncg GABAergic cortical interneuron				
CrossArea_subclass:3efe3bb311	Lamp5 Lhx6	Lamp5 Lhx6			CrossArea_subclass	CL:4023011	lamp5 GABAergic cortical interneuron				
CrossArea_subclass:8095bd2cb8	Pax6	Pax6			CrossArea_subclass	CL:4023070	caudal ganglionic eminence derived GABAergic cortical interneuron				
